name,startTime,endTime,deadline,priority,urgency,importance,complexity,status,fitnessScore,estimatedHours
Task 1,2024-09-24 08:00:00,2024-09-24 10:00:00,2024-09-24 12:00:00,5,10,10,5,in_progress,0.75,2.0
Task 2,2024-09-24 09:00:00,2024-09-24 11:00:00,2024-09-24 13:00:00,1,5,5,1,pending,0.65,2.0
Task 3,2024-09-25 08:00:00,2024-09-25 10:00:00,2024-09-25 12:00:00,10,9,8,5,pending,0.8,3.0
Task 4,2024-09-25 11:00:00,2024-09-25 12:00:00,2024-09-25 14:00:00,1,4,4,1,completed,0.9,1.0
Task 5,2024-09-25 13:00:00,2024-09-25 15:00:00,2024-09-25 17:00:00,4,7,8,4,in_progress,0.72,3.0
Task 6,2024-09-26 08:00:00,2024-09-26 09:00:00,2024-09-26 11:00:00,2,5,7,3,pending,0.68,1.5
Task 7,2024-09-26 09:30:00,2024-09-26 11:30:00,2024-09-26 12:00:00,3,6,7,5,completed,0.85,2.0
Task 8,2024-09-26 14:00:00,2024-09-26 16:00:00,2024-09-26 18:00:00,1,3,4,2,pending,0.59,1.0
Task 9,2024-09-27 08:00:00,2024-09-27 09:30:00,2024-09-27 11:00:00,10,9,8,5,in_progress,0.77,2.5
Task 10,2024-09-27 10:00:00,2024-09-27 12:00:00,2024-09-27 14:00:00,5,7,6,4,completed,0.82,2.0
Task 11,2024-09-28 08:30:00,2024-09-28 10:00:00,2024-09-28 12:00:00,5,6,9,3,pending,0.66,1.5
Task 12,2024-09-28 10:30:00,2024-09-28 12:30:00,2024-09-28 14:00:00,1,2,4,1,in_progress,0.74,1.0
Task 13,2024-09-28 13:00:00,2024-09-28 15:00:00,2024-09-28 17:00:00,3,5,6,4,pending,0.61,2.0
Task 14,2024-09-29 08:00:00,2024-09-29 09:00:00,2024-09-29 10:30:00,10,9,8,5,in_progress,0.79,2.5
Task 15,2024-09-29 09:30:00,2024-09-29 11:30:00,2024-09-29 13:00:00,5,8,7,4,completed,0.71,3.0
Task 16,2024-09-29 12:00:00,2024-09-29 14:00:00,2024-09-29 16:00:00,2,5,6,3,pending,0.6,1.5
Task 17,2024-09-30 08:00:00,2024-09-30 10:00:00,2024-09-30 12:00:00,1,4,5,2,in_progress,0.88,2.0
Task 18,2024-09-30 10:30:00,2024-09-30 11:30:00,2024-09-30 13:00:00,10,9,9,5,completed,0.76,1.0
Task 19,2024-09-30 12:00:00,2024-09-30 13:30:00,2024-09-30 15:00:00,5,5,7,4,pending,0.84,2.0
Task 20,2024-09-30 14:00:00,2024-09-30 15:30:00,2024-09-30 17:00:00,4,6,7,3,in_progress,0.69,1.5
Task 21,2024-10-01 08:00:00,2024-10-01 09:00:00,2024-10-01 11:00:00,5,5,8,4,completed,0.91,2.0
Task 22,2024-10-01 09:30:00,2024-10-01 10:30:00,2024-10-01 12:00:00,1,2,3,1,pending,0.57,1.0
Task 23,2024-10-01 11:00:00,2024-10-01 12:30:00,2024-10-01 13:00:00,10,10,9,5,in_progress,0.75,2.5
Task 24,2024-10-01 13:00:00,2024-10-01 15:00:00,2024-10-01 17:00:00,5,7,6,3,pending,0.63,2.0
Task 25,2024-10-02 08:00:00,2024-10-02 09:00:00,2024-10-02 10:00:00,3,5,5,2,completed,0.81,1.0
Task 26,2024-10-02 09:30:00,2024-10-02 11:00:00,2024-10-02 12:30:00,4,6,7,3,pending,0.67,2.0
Task 27,2024-10-02 11:30:00,2024-10-02 12:30:00,2024-10-02 13:00:00,2,3,5,1,in_progress,0.55,1.0
Task 28,2024-10-02 14:00:00,2024-10-02 15:30:00,2024-10-02 16:00:00,10,9,8,5,pending,0.76,2.5
Task 29,2024-10-03 08:00:00,2024-10-03 09:00:00,2024-10-03 10:00:00,3,5,6,4,completed,0.62,1.0
Task 30,2024-10-03 09:30:00,2024-10-03 11:00:00,2024-10-03 12:00:00,5,7,7,3,in_progress,0.73,1.5
Task 31,2024-10-03 11:30:00,2024-10-03 12:30:00,2024-10-03 13:00:00,4,6,7,4,pending,0.66,1.5
Task 32,2024-10-03 13:00:00,2024-10-03 15:00:00,2024-10-03 17:00:00,1,2,4,2,completed,0.72,2.0
Task 33,2024-10-04 08:00:00,2024-10-04 09:30:00,2024-10-04 11:00:00,5,4,6,3,pending,0.85,1.5
Task 34,2024-10-04 10:00:00,2024-10-04 11:00:00,2024-10-04 12:00:00,3,5,5,1,completed,0.78,0.5
Task 35,2024-10-04 11:30:00,2024-10-04 12:30:00,2024-10-04 13:00:00,2,6,4,2,in_progress,0.69,1.0
Task 36,2024-10-04 14:00:00,2024-10-04 16:00:00,2024-10-04 18:00:00,1,2,3,1,pending,0.8,2.0
Task 37,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-05 10:00:00,3,5,6,4,completed,0.75,1.0
Task 38,2024-10-05 09:30:00,2024-10-05 11:00:00,2024-10-05 12:00:00,4,6,7,3,in_progress,0.83,1.5
